protein1,protein2
P84085,O75154
P84085,P18085
P84085,P84077
P84085,P53367
P84085,P53365
P84085,Q15057
P84085,O14579
P84085,Q8N6T3
P84085,P62491
P84085,Q8N6H7
P84085,Q15438
P84085,P61204
P84085,P35606
P84085,O43150
P84085,Q5T7V8
Q02790,P08238
Q02790,P07900
Q02790,P04150
Q02790,Q15185
Q02790,P31948
Q02790,P06401
Q02790,O95433
Q02790,Q13451
Q02790,P25685
Q02790,P08235
Q02790,P11142
Q02790,Q08752
Q02790,P31749
Q02790,Q16543
Q02790,P30566
Q02790,"ENSP
9606.ENSP00000364801    P0DMV8
9606.ENSP00000364801    P0DMV9
Name: UniProt, dtype: object"
Q02790,Q00613
Q02790,O14832
Q02790,P0DMV8
Q02790,Q13561
O14792,Q7LGA3
O14792,O43704
O14792,O75897
O14792,Q9Y2C2
O14792,O60243
O14792,O94923
P13569,O14745
P13569,P11142
P13569,P07900
P13569,P17612
P13569,Q9UNE7
P13569,Q5T2W1
P13569,Q07157
P13569,P08238
P13569,P21333
P13569,P31946
P13569,P55072
P13569,P27824
P13569,Q14694
P13569,Q9BUN8
P13569,P63104
P13569,P61981
P13569,P15311
P13569,P00995
P13569,O95433
P13569,P07477
Q96RU2,P0CG48
Q96RU2,P01106
Q96RU2,P62979
Q96RU2,P0CG47
Q96RU2,O96017
Q96RU2,P40818
Q96RU2,P45974
Q96RU2,P04637
Q96RU2,O75604
Q96RU2,P54578
Q96RU2,Q13107
Q96RU2,O60341
Q96RU2,Q9Y4E8
O14558,O95817
O14558,P31947
O14558,P04792
O14558,P61981
O14558,P10809
O14558,P07900
O14558,P08238
O14558,P25685
O14558,Q99816
O14558,P63104
Q9Y6N9,Q9H251
Q9Y6N9,Q9H5P4
Q9Y6N9,Q9HBB8
Q9Y6N9,B1AK53
P11233,P20936
P11233,P11234
P11233,P15153
P11233,P61586
P11233,P21333
P11233,P45983
P11233,P45984
P11233,P60763
P11233,Q9UPT5
P11233,P30533
P11233,P12931
P11233,P04049
P11233,P01112
P11233,P51178
P11233,P57105
P11233,Q8NFH8
P11233,P01116
P11233,P61204
P11233,P47224
P11233,P31749
Q24JP5,P11021
O14641,Q8TAA9
O14641,O75581
O14641,Q9ULV1
O14641,P41221
O14641,P49841
O14641,Q9Y2T1
O14641,Q13467
O14641,O75084
O14641,Q969F2
O14641,Q14332
O14641,P68400
O14641,P67870
O14641,Q9H461
O14641,Q13145
O14641,P46531
O14641,Q9UM47
O14641,P35222
O14641,P49407
O14641,Q9UP38
O14641,O00144
P31270,Q12778
P78423,P51671
P78423,P13501
P78423,P09038
P78423,Q8TD46
P78423,P01133
P78423,P04141
P78423,P02778
P78423,P09919
P78423,P09341
P78423,O00585
P78423,Q07325
P78423,P01579
P78423,P78556
P78423,Q9H2A7
P78423,P48061
P78423,P49771
P78423,O00626
P78423,P80098
P78423,P22362
P78423,O43927
O75865,P0DI81
O75865,Q9Y296
O75865,Q8IUR0
O75865,O43617
O75865,A5PLN9
O75865,Q86SZ2
O75865,P62820
O75865,Q9H0U4
Q8TB22,P04818
Q8TB22,P08397
Q9UJK0,Q969E8
Q9UJK0,Q92979
O75594,Q9NP99
O75594,P49913
O75594,P02788
O75594,P08311
O75594,P22894
O75594,P17213
P04233,P16070
P04233,P14174
P04233,P01906
P04233,P39019
P04233,P05067
P04233,P23396
P04233,P46777
P04233,P46782
P04233,P60866
P04233,P25774
P04233,P62913
P04233,P08865
P04233,P63173
P04233,P62888
P04233,P62081
P04233,P61247
P04233,P25398
P04233,P62851
P04233,P30050
P04233,P63244
P15085,P17538
P15085,P08861
P15085,P15086
P15085,P19835
P15085,P40313
P15085,Q6GPI1
P15085,P48052
P15085,Q99895
P15085,P16233
P15085,P08217
P15085,P07477
P15085,P04118
P15085,P54315
P15085,P01298
P15085,Q9UNI1
P15085,P00995
P01730,P06239
P01730,P01732
P01730,Q14624
P01730,Q14005
P01730,P06127
P01730,P06729
P01730,P43403
P01730,Q07075
P01730,P01579
P01730,P07766
P01730,P20963
P01730,P09693
P01730,P29965
P01730,P60033
P01730,P43405
P01730,P06241
P01730,P10966
P01730,Q9BZS1
P01730,P22301
P01730,P60568
Q9Y4K4,P62993
Q9Y4K4,P46108
Q9Y4K4,P46109
P07992,Q92889
P07992,P54727
P07992,P43246
P07992,P12956
P07992,P41208
P07992,P18887
P07992,Q13426
P07992,P39748
P07992,Q9H9Q4
P07992,Q9Y6H3
P07992,Q06609
P07992,O60341
P07992,Q19AV6
P07992,P09874
P07992,Q9NW38
P07992,P54278
P07992,P15927
P07992,Q9NPI8
P07992,P23921
P07992,O15527
Q9H1B5,Q9UBV7
Q9H1B5,P62993
Q9H1B5,Q96L58
Q9H1B5,O94766
Q9H1B5,O95255
Q7L8C5,"ENSP
9606.ENSP00000385142    P58400
9606.ENSP00000385142    Q9ULB1
Name: UniProt, dtype: object"
O43623,O60341
O43623,P12830
O43623,P04637
O43623,P48436
O43623,P19022
O43623,P08670
O43623,Q00987
O43623,Q13485
O43623,P56693
O43623,Q15910
O43623,Q92769
O43623,P49841
O43623,Q15796
O43623,P35222
O43623,P02751
O43623,P35226
O43623,P23760
O43623,P01106
O43623,Q13363
O43623,P05412
Q9BY42,Q92541
Q12864,P35222
Q12864,P16284
Q12864,Q15223
Q12864,P35968
Q12864,P18206
Q12864,P35221
Q12864,Q07157
Q12864,Q16625
Q12864,P26232
Q12864,P18031
Q12864,P33151
Q12864,Q9HBB8
Q12864,Q6UX06
Q12864,P00533
Q12864,P02751
Q12864,Q9UI47
Q12864,P14923
Q12864,P12931
Q12864,P60953
Q12864,O94985
Q9UBV7,Q96L58
Q9UBV7,Q9H1B5
Q9UBV7,O94766
Q9UBV7,Q8NCH0
P60520,Q13501
P60520,Q14596
P60520,O95352
P60520,Q9H1Y0
P60520,Q9NT62
P60520,O60238
P60520,Q9Y4P1
P60520,Q12983
P60520,Q13137
P60520,Q8WYN0
P60520,Q9GZZ9
P60520,Q14457
P60520,Q96DT6
P60520,Q8IVP5
P60520,Q86VP1
P60520,Q8NEB9
P60520,Q3MII6
P60520,Q08708
P60520,Q96EB6
P60520,O95166
Q99972,Q96PB7
Q99972,Q14515
Q99972,P02751
Q99972,P50542
Q99972,O76070
Q99972,Q96FE5
Q99972,P34130
P00480,P05089
P00480,P78540
P00480,P04181
P00480,Q8N159
P00480,Q03154
P00480,P04424
P00480,P29474
P00480,Q15124
P00480,P36871
P00480,P06737
P00480,P11216
P00480,Q96G03
P00480,O75390
Q9BV20,Q13126
Q9BV20,Q9BV57
Q9BV20,Q9BWK5
Q9BV20,P00491
Q9BV20,P35612
Q9BZR6,P20916
Q9BZR6,P08138
Q9BZR6,P15144
Q9BZR6,Q96FE5
Q9BZR6,Q9NS68
Q9BZR6,P23515
Q9BZR6,Q8IZA0
Q9BZR6,O14514
Q9BZR6,Q92979
Q9BZR6,Q16653
Q9BZR6,P05067
Q9BZR6,P23560
Q9BZR6,Q99784
P25789,P49720
P25789,P25788
P25789,P28065
P25789,P49721
P25789,P28066
P25789,P51665
P25789,P20618
P25789,P60900
P25789,P25786
P25789,P28072
P25789,P28070
P25789,P28074
P25789,Q15008
P25789,Q99436
P25789,P25787
P25789,P55036
P25789,O14818
P25789,P17980
P25789,P62195
P25789,O00231
Q9BS86,Q15506
Q9BS86,Q9HBV2
P07585,P00533
P07585,P01137
P07585,P02751
P07585,O60603
P07585,P21810
P07585,P67809
P07585,P05019
P07585,O00206
P07585,P08581
P07585,P98160
P07585,P13611
P07585,P51884
P07585,P16112
P07585,P10600
P07585,P04626
P07585,P21781
P07585,P55001
P07585,P04004
P07585,O15520
P07585,Q9HCT0
Q02223,Q9Y275
Q02223,Q8WU39
Q02223,O14836
Q02223,Q96RJ3
Q02223,P29965
Q02223,P01591
Q02223,Q16633
Q02223,P26842
Q02223,P11912
Q02223,P28907
Q02223,Q96RD9
Q02223,P32970
P43080,Q9UMX6
P43080,Q9NZN9
P43080,Q14028
P28799,Q99523
P28799,Q13148
P28799,P03973
P28799,P98160
P28799,Q9NUM4
P28799,P10636
P28799,P07339
P28799,P07602
P28799,Q9UQN3
P28799,O75390
P28799,P53007
P28799,P19438
P28799,Q9Y295
P28799,Q8WUR7
P28799,P56282
P28799,P20333
P28799,P55072
Q15836,O00161
Q15836,O43752
Q15836,Q16623
Q15836,P60880
Q15836,Q12846
Q15836,Q13277
Q15836,Q96AJ9
Q15836,P51809
Q15836,P61266
Q15836,P32856
Q15836,O60499
Q15836,P63027
Q15836,Q86Y82
Q15836,Q9BV40
Q15836,O95721
Q15836,Q9UEU0
Q15836,O15400
Q15836,O14810
Q15836,P21579
Q15836,P54920
O95399,Q9UKP6
O95399,Q765I0
O95399,P05305
O95399,P61278
O95399,P01019
Q15293,O95229
O43897,Q9H2X0
Q969Z4,O95747
Q969Z4,Q13077
Q969Z4,P37173
Q969Z4,Q9NS68
Q99959,Q14126
Q99959,Q02487
Q99959,P14923
Q99959,Q9UI47
Q99959,Q14574
Q99959,P17302
Q99959,Q02413
Q99959,P32926
Q99959,P10600
Q99959,P35222
Q99959,P19022
Q99959,Q08554
Q99959,P17252
Q99959,P35221
Q99959,Q14896
Q99959,P27448
Q96PE3,Q01968
