protein1,protein2,weight
BCL2L1,BECN1,1.0
PTK2,TLN2,1.0
MAP2K3,MAPK14,1.0
RBM22,SNRPF,1.0
PRPF6,SNRPF,1.0
SNRPE,SNRPF,1.0
SNRPD3,SNRPF,1.0
SNRPB2,SNRPF,1.0
BUD31,SNRPF,1.0
LSM3,SNRPF,1.0
SNRPA,SNRPF,1.0
SNRPC,SNRPF,1.0
SNRPD2,SNRPF,1.0
PRPF19,SNRPF,1.0
SNRPF,SNRPG,1.0
SNRPA1,SNRPF,1.0
KLRK1,ULBP1,1.0
CCNA2,CDK2,1.0
CDK2,CDKN1B,1.0
CCNA1,CDK2,1.0
CDK2,SKP1,1.0
CDK2,FOXO3,1.0
CDK2,SKP2,1.0
MAPK14,MAPKAPK2,1.0
SRC,TLN2,1.0
MRTO4,PES1,1.0
APBB1IP,TLN2,1.0
RPS12,RPS19,1.0
RACK1,RPS12,1.0
RPS12,RPSA,1.0
RPS10,RPS12,1.0
RPL11,RPS12,1.0
RPS12,RPS27A,1.0
RPS12,RPS3A,1.0
RPS12,RPS3,1.0
RPL38,RPS12,1.0
RPL12,RPS12,1.0
RPS12,RPS14,1.0
RPLP2,RPS12,1.0
LDLR,PCSK9,1.0
LGR5,RSPO1,1.0
HNRNPA2B1,HNRNPC,1.0
LGR5,RSPO2,1.0
CDC42,PAK6,1.0
NCBP2,SRRT,1.0
NCBP1,NCBP2,1.0
TLN2,ZYX,1.0
TLN2,VCL,1.0
CDK2,RB1,1.0
CCNE1,CDK2,1.0
RPL30,RPS12,1.0
ERBB3,NRG2,1.0
EGF,ERBB3,1.0
ERBB3,ERBB4,1.0
EGFR,ERBB3,1.0
ERBB3,NRG1,1.0
ERBB2,ERBB3,1.0
MDM2,RB1,1.0
IFNA2,IFNAR1,1.0
TNFRSF12A,TNFSF12,1.0
SST,SSTR1,1.0
AKT1,FOXO1,1.0
AKT1,HSP90AA1,1.0
AKT1,HSP90AB1,1.0
AKT1,PDPK1,1.0
AKT1,MDM2,1.0
AKT1,CDC42,1.0
TERF1,TINF2,1.0
NANOG,SOX2,1.0
IFNA10,IFNA16,1.0
EMC4,MMGT1,1.0
ERBB3,SHC1,1.0
ERBB3,GRB2,1.0
CDK2,CKS1B,1.0
ECI1,ECI2,1.0
CDK2,CDKN1A,1.0
CCNB1,CDK2,1.0
CDK2,CDKN3,1.0
CCNB2,CDK2,1.0
AGO2,TARBP2,1.0
ASF1A,H3C1,1.0
CUL1,SKP2,1.0
CAND1,CUL1,1.0
CUL1,SKP1,1.0
CUL1,FBXL5,1.0
CUL1,NFKBIA,1.0
NEO1,RGMA,1.0
FN1,VTN,1.0
CUL1,NEDD8,1.0
CUL1,UBE2M,1.0
FN1,ITGB1,1.0
FN1,ITGA5,1.0
FN1,THBS1,1.0
CD44,FN1,1.0
CUL1,DCUN1D1,1.0
CLEC2D,KLRB1,1.0
RPL5,RPS12,1.0
RPS12,RPS5,1.0
RAN,XPO5,1.0
ANGPT1,TEK,1.0
GOSR1,GOSR2,1.0
ANGPTL3,ANGPTL8,1.0
GOSR2,SCFD1,1.0
AIM2,NLRP1,1.0
NLRP1,PYCARD,1.0
