node_id,index,UniProt
9606.ENSP00000000233,0,P84085
9606.ENSP00000001008,1,Q02790
9606.ENSP00000002596,2,O14792
9606.ENSP00000003084,3,P13569
9606.ENSP00000003302,4,Q96RU2
9606.ENSP00000004982,5,O14558
9606.ENSP00000005226,6,Q9Y6N9
9606.ENSP00000005257,7,P11233
9606.ENSP00000005286,8,Q24JP5
9606.ENSP00000005340,9,O14641
9606.ENSP00000006015,10,P31270
9606.ENSP00000006053,11,P78423
9606.ENSP00000006275,12,O75865
9606.ENSP00000006658,13,Q8TB22
9606.ENSP00000007390,14,Q9UJK0
9606.ENSP00000008938,15,O75594
9606.ENSP00000009530,16,P04233
9606.ENSP00000011292,17,P15085
9606.ENSP00000011653,18,P01730
9606.ENSP00000013125,19,Q9Y4K4
9606.ENSP00000013807,20,P07992
9606.ENSP00000017003,21,Q9H1B5
9606.ENSP00000020926,22,Q7L8C5
9606.ENSP00000020945,23,O43623
9606.ENSP00000023939,24,Q9BY42
9606.ENSP00000027335,25,Q12864
9606.ENSP00000029410,26,Q9UBV7
9606.ENSP00000037243,27,P60520
9606.ENSP00000037502,28,Q99972
9606.ENSP00000039007,29,P00480
9606.ENSP00000040663,30,Q9BV20
9606.ENSP00000043402,31,Q9BZR6
9606.ENSP00000044462,32,P25789
9606.ENSP00000046087,33,Q9BS86
9606.ENSP00000052754,34,P07585
9606.ENSP00000053243,35,Q02223
9606.ENSP00000053469,36,P43080
9606.ENSP00000053867,37,P28799
9606.ENSP00000054666,38,Q15836
9606.ENSP00000054668,39,O95399
9606.ENSP00000054950,40,Q15293
9606.ENSP00000061240,41,O43897
9606.ENSP00000064780,42,Q969Z4
9606.ENSP00000070846,43,Q99959
9606.ENSP00000074304,44,Q96PE3
9606.ENSP00000085219,45,P20273
9606.ENSP00000086933,46,O15499
9606.ENSP00000155926,47,Q92519
9606.ENSP00000156084,48,Q96G74
9606.ENSP00000156626,49,Q9NSC7
9606.ENSP00000160262,50,P32942
9606.ENSP00000160827,51,Q14807
9606.ENSP00000162749,52,P19438
9606.ENSP00000165524,53,P81277
9606.ENSP00000166139,54,O95633
9606.ENSP00000166244,55,P29322
9606.ENSP00000167586,56,P02533
9606.ENSP00000167588,57,P35900
9606.ENSP00000168216,58,Q99714
9606.ENSP00000168712,59,P08620
9606.ENSP00000169298,60,P15907
9606.ENSP00000169551,61,Q9BVV7
9606.ENSP00000172229,62,P08138
9606.ENSP00000173229,63,O95631
9606.ENSP00000176195,64,P09683
9606.ENSP00000176763,65,O94804
9606.ENSP00000178638,66,O43570
9606.ENSP00000178640,67,Q13163
9606.ENSP00000179259,68,Q9NQ88
9606.ENSP00000180166,69,Q9NP95
9606.ENSP00000180173,70,Q9Y216
9606.ENSP00000181383,71,Q96IY4
9606.ENSP00000184266,72,O95168
9606.ENSP00000185150,73,Q96DZ1
9606.ENSP00000185206,74,Q9NZA1
9606.ENSP00000188790,75,Q12884
9606.ENSP00000192314,76,Q9H3Q3
9606.ENSP00000193322,77,Q86WC4
9606.ENSP00000196371,78,P55809
9606.ENSP00000198536,79,Q9UKJ1
9606.ENSP00000199320,80,Q9UNQ2
9606.ENSP00000199447,81,Q8N427
9606.ENSP00000199708,82,P09105
9606.ENSP00000199814,83,Q9NW64
9606.ENSP00000200135,84,O43264
9606.ENSP00000200676,85,P11597
9606.ENSP00000201586,86,O00204
9606.ENSP00000202017,87,Q9NUG6
9606.ENSP00000203001,88,Q9UJA5
9606.ENSP00000203629,89,P18627
9606.ENSP00000203664,90,Q96DC9
9606.ENSP00000204566,91,Q9NZD8
9606.ENSP00000204604,92,Q9H2X0
9606.ENSP00000204679,93,Q9UJJ9
9606.ENSP00000204961,94,P98172
9606.ENSP00000205143,95,Q9NYJ7
9606.ENSP00000205402,96,P09622
9606.ENSP00000205557,97,O95255
9606.ENSP00000205948,98,P02749
9606.ENSP00000206513,99,Q15744
9606.ENSP00000206765,100,P22735
9606.ENSP00000207549,101,Q70J99
9606.ENSP00000207870,102,O75191
9606.ENSP00000209668,103,P07327
9606.ENSP00000209875,104,P45973
9606.ENSP00000210060,105,P49366
9606.ENSP00000210313,106,Q16401
9606.ENSP00000210444,107,Q9NR45
9606.ENSP00000210633,108,Q9NTN9
9606.ENSP00000211122,109,Q16772
9606.ENSP00000211287,110,O15264
9606.ENSP00000211998,111,P18206
9606.ENSP00000212015,112,Q96EB6
9606.ENSP00000212355,113,Q03167
9606.ENSP00000215057,114,P28698
9606.ENSP00000215095,115,P61266
9606.ENSP00000215368,116,O43921
9606.ENSP00000215530,117,Q9HCT0
9606.ENSP00000215531,118,O75264
9606.ENSP00000215570,119,Q9Y5L4
9606.ENSP00000215574,120,P49427
9606.ENSP00000215637,121,Q13477
9606.ENSP00000215659,122,P53778
9606.ENSP00000215727,123,P05546
9606.ENSP00000215730,124,O95721
9606.ENSP00000215754,125,P14174
9606.ENSP00000215781,126,P13725
9606.ENSP00000215829,127,P62318
9606.ENSP00000215832,128,P28482
9606.ENSP00000215838,129,P20062
9606.ENSP00000215855,130,P26998
9606.ENSP00000215882,131,P53007
9606.ENSP00000215886,132,P05162
9606.ENSP00000215904,133,Q96GD0
9606.ENSP00000215909,134,P09382
9606.ENSP00000215957,135,Q8N3F8
9606.ENSP00000216024,136,Q14565
9606.ENSP00000216027,137,Q8IWL3
9606.ENSP00000216037,138,P17861
9606.ENSP00000216039,139,Q15040
9606.ENSP00000216075,140,Q9UGB7
9606.ENSP00000216115,141,Q13323
9606.ENSP00000216117,142,P09601
9606.ENSP00000216124,143,P15289
9606.ENSP00000216129,144,Q14166
9606.ENSP00000216133,145,O95931
9606.ENSP00000216218,146,P50502
9606.ENSP00000216223,147,P14784
9606.ENSP00000216237,148,Q969R5
9606.ENSP00000216259,149,Q92871
9606.ENSP00000216286,150,Q14112
9606.ENSP00000216330,151,Q00688
9606.ENSP00000216336,152,P08311
9606.ENSP00000216338,153,P20718
9606.ENSP00000216341,154,P10144
9606.ENSP00000216361,155,O43405
9606.ENSP00000216367,156,P56282
9606.ENSP00000216392,157,P06737
9606.ENSP00000216410,158,Q96EK6
9606.ENSP00000216455,159,P25788
9606.ENSP00000216479,160,O95433
9606.ENSP00000216484,161,O15270
9606.ENSP00000216492,162,P10645
9606.ENSP00000216554,163,P55010
9606.ENSP00000216639,164,Q99986
9606.ENSP00000216714,165,P27695
9606.ENSP00000216727,166,Q86U42
9606.ENSP00000216733,167,O43281
9606.ENSP00000216756,168,Q9BW66
9606.ENSP00000216780,169,Q16822
9606.ENSP00000216797,170,P25963
9606.ENSP00000216802,171,Q9UL46
9606.ENSP00000216807,172,Q5PSV4
9606.ENSP00000216911,173,O14965
9606.ENSP00000216962,174,P11216
9606.ENSP00000216968,175,Q9UNN8
9606.ENSP00000217109,176,Q05048
9606.ENSP00000217121,177,O43399
9606.ENSP00000217131,178,Q9UBR2
9606.ENSP00000217169,179,Q96CA5
9606.ENSP00000217244,180,P68400
9606.ENSP00000217246,181,A1Z1Q3
9606.ENSP00000217260,182,Q2I0M5
9606.ENSP00000217381,183,Q13424
9606.ENSP00000217386,184,P01178
9606.ENSP00000217407,185,P18428
9606.ENSP00000217423,186,P01036
9606.ENSP00000217426,187,P23526
