Protein,AD_beta,AD_logp,PD_beta,PD_logp
A1BG,0.04879016416943205,-0.8555296699543297,-0.2231435513142097,-0.19157719638098594
AAMDC,-0.01005033585350145,-2.9238439100528786,-0.18632957819149348,-0.1044933362110772
AARSD1,-0.06187540371808753,-3.4439537771802122,0.11332868530700327,-1.232742035127732
ABCA2,0.04879016416943205,-4.185739058331881,-0.342490308946776,-0.40220784325981146
ABHD14B,-0.06187540371808753,-0.07969491749288654,-0.01005033585350145,-1.1487633388229546
ABL1,0.009950330853168092,-1.1082331652373008,-0.05129329438755058,-0.167283589542851
ABO,0.0,-0.886206722917612,0.02955880224154443,-0.05756076665534062
ABRAXAS2,-0.020202707317519466,-1.1447963176099964,-0.07257069283483537,-0.2089882605908203
ACAA1,-0.030459207484708574,-0.07444453232220355,0.0,-0.7067845076379201
ACADM,-0.01005033585350145,-0.75906884019271,0.04879016416943205,-0.1997164159317325
ACADSB,-0.09431067947124129,-1.4917478144296201,-0.06187540371808753,-3.223622045374496
ACAN,0.13976194237515863,-0.12880042304443637,-0.020202707317519466,-1.3286293560633877
ACE,0.28517894223366247,-2.160987506011036,-0.2744368457017603,-2.893582518877013
ACE2,0.12221763272424911,-1.3961917955321002,0.06765864847381486,-2.9040526763460313
ACHE,0.23111172096338664,-1.7961715180168019,-0.21072103131565253,-2.766270993183781
ACOT13,-0.040821994520255166,-0.3810756034015661,-0.020202707317519466,-1.4339897735487426
ACOX1,-0.01005033585350145,-0.08183778277390005,-0.01005033585350145,-0.10164035515492621
ACP1,-0.10536051565782628,-0.4368631664847587,0.04879016416943205,-1.4021810936297374
ACP5,0.13976194237515863,-0.19951959978261594,0.01980262729617973,-1.6853122012994504
ACP6,0.009950330853168092,-1.370235182774221,-0.05129329438755058,-0.17967540853440378
ACRBP,-0.23572233352106983,-0.6371305370695346,0.0769610411361284,-3.3855528874313134
ACRV1,0.08617769624105241,-0.7511391092062784,-0.040821994520255166,-2.236087024274506
ACSL1,-0.05129329438755058,-0.6779280670226573,0.08617769624105241,-0.3947218921665208
ACTA2,0.23901690047049992,-0.6488568129256171,-0.05129329438755058,-7.162443678422047
ACTN2,0.11332868530700327,-0.9038002956634376,0.06765864847381486,-2.2030779237932134
ACTN4,-0.020202707317519466,-0.42231750134774454,-0.040821994520255166,-0.12847070865697285
ACVRL1,0.19885085874516517,-2.3444221754584538,-0.21072103131565253,-1.9384597940045336
ACY1,-0.11653381625595151,-7.140027873498565,-0.1743533871447778,-2.995995868292032
ACY3,-0.12783337150988489,-2.5907882878732016,-0.16251892949777494,-2.162508452315506
ACYP1,-0.06187540371808753,-0.8906931947052218,-0.06187540371808753,-1.0862634247154257
ADA,-0.05129329438755058,-4.430765888139286,-0.2231435513142097,-0.4655996354780044
ADA2,0.23901690047049992,-6.792737841848098,0.22314355131420976,-6.014345122429965
ADAM12,0.3148107398400336,-1.4448783237483251,-0.18632957819149348,-4.88330095108038
ADAM15,0.3293037471426003,-0.36860908044806573,-0.040821994520255166,-5.429895011837584
ADAM22,-0.020202707317519466,-2.8093356810080095,-0.16251892949777494,-0.15692787566810434
ADAM23,-0.020202707317519466,-2.824985227045489,-0.15082288973458366,-0.1695006142502758
ADAM8,0.2468600779315258,-0.54031028222292,-0.06187540371808753,-3.1623953546690085
ADAM9,0.3987761199573678,-1.132442371173635,-0.16251892949777494,-5.980192318070103
ADAMTS1,0.3074846997479607,-0.20047701299758847,-0.040821994520255166,-4.789515950108059
ADAMTS13,0.09531017980432493,-5.472902209047968,-0.37106368139083207,-0.6410410099458134
ADAMTS15,-0.030459207484708574,-7.348279332425631,-0.23572233352106983,-0.28307793179264035
ADAMTS16,0.1823215567939546,-1.5779841833999313,0.11332868530700327,-2.9054507343779896
ADAMTS4,0.19885085874516517,-1.834707522209777,0.1906203596086497,-2.4697321037928934
ADAMTS8,-0.3285040669720361,-0.697847475660185,0.04879016416943205,-10.527108670447463
ADAMTSL2,0.27763173659827955,-0.19108557848617252,-0.030459207484708574,-3.8802324236156918
ADAMTSL4,0.4382549309311553,-10.930709845117565,-0.8675005677047231,-4.365175260003494
ADAMTSL5,0.131028262406404,-5.510389928053247,-0.342490308946776,-1.5097866777485893
ADCYAP1R1,-0.06187540371808753,-1.0674090867658976,-0.09431067947124129,-0.5695783602160166
ADD1,-0.08338160893905101,-0.8300470676255534,-0.05129329438755058,-2.0610397303625043
ADGRB3,0.131028262406404,-0.16380870560738378,0.01980262729617973,-1.5567434229290946
ADGRD1,-0.11653381625595151,-6.118420576322468,-0.40047756659712525,-1.1474244635797763
ADGRE1,0.01980262729617973,-1.3429486597484175,-0.09431067947124129,-0.22561642008544863
ADGRE2,0.16551443847757333,-6.090441039630634,-0.342490308946776,-1.6666426661712548
ADGRE5,0.26236426446749106,-6.621446899614815,-0.3285040669720361,-4.070981164353653
ADGRF5,-0.020202707317519466,-0.11409428646479165,-0.020202707317519466,-0.12535685991592513
ADGRG1,0.13976194237515863,-0.7576100608250261,0.02955880224154443,-7.877876732317075
ADGRG2,-0.10536051565782628,-31.997174401446138,-0.7339691750802004,-0.8855582982191164
ADGRV1,0.0,-1.6792651140204895,-0.09431067947124129,-0.016282898794295265
ADH1B,-0.10536051565782628,-3.714638179800972,-0.15082288973458366,-2.846314369950347
ADH4,-0.10536051565782628,-5.718611482926319,-0.11653381625595151,-3.9078435017345368
ADIPOQ,0.1906203596086497,-4.355119811842651,0.17395330712343798,-6.8651959145633725
ADM,0.3576744442718159,-1.0337414627498884,-0.10536051565782628,-4.928132138884724
ADRA2A,-0.06187540371808753,-2.6142380518765242,0.11332868530700327,-1.1472545286288671
AFAP1,0.009950330853168092,-0.5474205182006954,-0.030459207484708574,-0.10061139504882614
AFM,-0.37106368139083207,-4.771458327696832,-0.616186139423817,-2.5969147047912076
AFP,-0.10536051565782628,-2.5223395064296206,-0.08338160893905101,-2.873914862500672
AGBL2,0.0,-1.840228137682773,-0.07257069283483537,-0.04620116133147238
AGER,-0.18632957819149348,-6.496489692887008,-0.23572233352106983,-3.5139854467306177
AGR2,0.09531017980432493,-1.7025658849855732,0.03922071315328133,-5.220014078480347
AGR3,0.10436001532424286,-4.044062539997921,-0.12783337150988489,-2.701983480919973
AGRN,-0.06187540371808753,-3.8766117988550675,-0.21072103131565253,-0.5940982241539361
AGRP,0.058268908123975824,-2.3593306555982068,-0.09431067947124129,-1.025635658097147
AGT,0.08617769624105241,-1.3104072260441426,-0.2231435513142097,-0.4437455226807514
AGXT,-0.030459207484708574,-0.7894747166957711,0.02955880224154443,-0.5470701594656416
AHCY,-0.030459207484708574,-0.2744126604679097,-0.01005033585350145,-0.68148026645346
AHNAK,-0.4462871026284195,-13.054704728930513,-0.579818495252942,-6.69894597385108
AHNAK2,0.01980262729617973,-9.492703282950364,-0.7339691750802004,-0.13444434180726503
AHSA1,0.01980262729617973,-0.9053355842363232,-0.06187540371808753,-0.37520542775266963
AHSG,-0.10536051565782628,-7.318041992369518,-0.527632742082372,-0.704608187710171
AHSP,0.009950330853168092,-1.1303676997794143,0.03922071315328133,-0.29366400458533815
AIDA,-0.07257069283483537,-1.1404919861089362,0.04879016416943205,-1.8203500978209974
AIF1,0.09531017980432493,-3.4704932490477285,-0.12783337150988489,-1.7280828319056547
AIF1L,0.03922071315328133,-0.5439888308437628,0.04879016416943205,-0.4653838066783046
AIFM1,0.0,-0.6996299121307438,-0.020202707317519466,-0.0005486875014597962
AK1,-0.01005033585350145,-0.5657901524035438,0.02955880224154443,-0.1794508954876616
AK2,-0.06187540371808753,-0.08587916981450039,0.0,-2.2686484022690814
AKAP12,0.14842000511827322,-5.993770403552769,-0.7550225842780328,-0.8427502285575648
AKR1B1,0.0,-0.28168497504219,-0.01005033585350145,-0.012366384511683119
AKR1B10,0.058268908123975824,-0.050161140778534556,0.0,-0.9465624569347916
AKR1C4,0.009950330853168092,-0.9981885318762828,0.04879016416943205,-0.1870153120484024
AKR7L,-0.020202707317519466,-0.044609107630736757,0.0,-0.29959677276258456
AKT1S1,-0.040821994520255166,-0.007736185263635315,0.0,-0.8859612849079785
AKT2,-0.030459207484708574,-0.9453858057793068,-0.030459207484708574,-1.2484390526077478
AKT3,-0.020202707317519466,-0.5640441280761964,-0.030459207484708574,-0.21405924510462915
ALCAM,0.45107561936021673,-4.493653051262745,-0.40047756659712525,-4.455734489961957
ALDH1A1,-0.06187540371808753,-0.9210154181471593,0.04879016416943205,-0.9953583496857012
ALDH2,-0.12783337150988489,-0.3808710076870304,0.03922071315328133,-1.8378664044781132
ALDH3A1,-0.01005033585350145,-0.8432662110848059,-0.040821994520255166,-0.16221079227104443
ALDH5A1,-0.09431067947124129,-0.0143575247508152,0.0,-1.2523993801016395
ALMS1,-0.06187540371808753,-0.8847152339485213,-0.09431067947124129,-0.6383828250810413
ALPI,-0.05129329438755058,-0.7966292527091063,0.02955880224154443,-1.8700525943141872
ALPP,-0.030459207484708574,-2.0929015870217182,-0.05129329438755058,-1.0214471128133353
AMBN,0.2468600779315258,-0.013163361141101023,0.0,-4.084590191161858
AMBP,0.19885085874516517,-2.1703657156853273,-0.23572233352106983,-1.4266722001251448
AMDHD2,0.12221763272424911,-1.1771760979511634,-0.18632957819149348,-0.8345899756769303
AMFR,0.04879016416943205,-0.5902426076621545,0.02955880224154443,-0.8830839919409239
AMIGO1,-0.06187540371808753,-0.3417309649270671,0.03922071315328133,-0.7285943246691731
AMIGO2,0.04879016416943205,-0.2799848495582714,-0.040821994520255166,-0.2681813417021703
AMN,-0.10536051565782628,-0.3111858495205538,0.01980262729617973,-1.8513084365183032
AMOT,-0.21072103131565253,-2.5963368554684156,-0.23572233352106983,-2.906795451424141
AMOTL2,-0.3856624808119846,-0.6736473618507565,0.058268908123975824,-8.246620401571937
AMPD3,0.03922071315328133,-0.8837655182506391,0.058268908123975824,-0.8168583147224541
AMY1A_AMY1B_AMY1C,-0.15082288973458366,-1.2354988865610994,-0.10536051565782628,-2.3945027040729796
AMY2A,-0.05129329438755058,-1.2967800174996558,-0.07257069283483537,-0.6738309558520529
AMY2B,-0.08338160893905101,-1.6913686938977097,-0.08338160893905101,-1.3571006313344294
ANG,-0.06187540371808753,-0.21417919771353278,-0.020202707317519466,-0.6114623234905443
ANGPT1,-0.01005033585350145,-0.2705922653178711,0.009950330853168092,-0.1343031303374811
ANGPT2,0.1570037488096647,-2.7029102383720542,0.14842000511827322,-2.3878814469313507
ANGPTL1,0.23111172096338664,-0.959412439020082,-0.09431067947124129,-2.833765391406318
ANGPTL2,-0.01005033585350145,-2.9882978772888644,-0.15082288973458366,-0.11002078341209745
ANGPTL3,-0.21072103131565253,-11.55062733215424,-0.3856624808119846,-3.336701880199917
ANGPTL4,0.131028262406404,-1.4250581335664796,-0.08338160893905101,-2.2882480710220254
ANGPTL7,0.22314355131420976,-0.10624731986357917,0.009950330853168092,-3.868558808600744
