Disease_category_ad,Disease_ad,Protein,Protein_definition_ad,NB_individual_ad,NB_case_ad,HR[95%CI]_ad,P_value_ad,Disease_category_pd,Disease_pd,Protein_definition_pd,NB_individual_pd,NB_case_pd,HR[95%CI]_pd,P_value_pd
Chapter VI Diseases of the nervous system,Alzheimer disease,A1BG,Alpha-1B-glycoprotein,44858,579,1.05 [0.66-1.68],0.825655885,Chapter VI Diseases of the nervous system,Parkinson's disease,Alpha-1B-glycoprotein,44814,423,0.80 [0.47-1.38],0.425057991
Chapter VI Diseases of the nervous system,Alzheimer disease,AAMDC,Mth938 domain-containing protein,43598,560,0.99 [0.85-1.16],0.9007808,Chapter VI Diseases of the nervous system,Parkinson's disease,Mth938 domain-containing protein,43557,401,0.83 [0.69-1.00],0.053726769
Chapter VI Diseases of the nervous system,Alzheimer disease,AARSD1,Alanyl-tRNA editing protein Aarsd1,51282,658,0.94 [0.83-1.06],0.291492199,Chapter VI Diseases of the nervous system,Parkinson's disease,Alanyl-tRNA editing protein Aarsd1,51237,847,1.12 [1.01-1.25],0.031938159
Chapter VI Diseases of the nervous system,Alzheimer disease,ABCA2,ATP-binding cassette sub-family A member 2,43319,555,1.05 [0.84-1.32],0.668841717,Chapter VI Diseases of the nervous system,Parkinson's disease,ATP-binding cassette sub-family A member 2,43276,405,0.71 [0.53-0.93],0.01521096
Chapter VI Diseases of the nervous system,Alzheimer disease,ABHD14B,Protein ABHD14B,50959,646,0.94 [0.83-1.06],0.317028584,Chapter VI Diseases of the nervous system,Parkinson's disease,Protein ABHD14B,50912,835,0.99 [0.89-1.11],0.923398016
Chapter VI Diseases of the nervous system,Alzheimer disease,ABL1,Tyrosine-protein kinase ABL1,51282,658,1.01 [0.91-1.12],0.845959672,Chapter VI Diseases of the nervous system,Parkinson's disease,Tyrosine-protein kinase ABL1,51237,847,0.95 [0.87-1.05],0.330141752
Chapter VI Diseases of the nervous system,Alzheimer disease,ABO,Histo-blood group ABO system transferase,44826,575,1.00 [0.94-1.05],0.944064521,Chapter VI Diseases of the nervous system,Parkinson's disease,Histo-blood group ABO system transferase,44783,424,1.03 [0.96-1.09],0.412216442
Chapter VI Diseases of the nervous system,Alzheimer disease,ABRAXAS2,BRISC complex subunit Abraxas 2,43319,555,0.98 [0.87-1.12],0.811404761,Chapter VI Diseases of the nervous system,Parkinson's disease,BRISC complex subunit Abraxas 2,43276,405,0.93 [0.80-1.08],0.318288741
Chapter VI Diseases of the nervous system,Alzheimer disease,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",50307,647,0.97 [0.89-1.06],0.49322762,Chapter VI Diseases of the nervous system,Parkinson's disease,"3-ketoacyl-CoA thiolase, peroxisomal",50261,834,1.00 [0.93-1.08],0.928258961
Chapter VI Diseases of the nervous system,Alzheimer disease,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",43973,571,0.99 [0.88-1.11],0.818962965,Chapter VI Diseases of the nervous system,Parkinson's disease,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",43931,414,1.05 [0.92-1.19],0.468102102
