UniProt,ENSP,source
A0AVT1,9606.ENSP00000313454,Ensembl_HGNC_uniprot_ids
A0AVT1,9606.ENSP00000313454,Ensembl_UniProt
A0AVT1,9606.ENSP00000313454,UniProt_AC
A0PJX2,9606.ENSP00000217320,Ensembl_HGNC_uniprot_ids
A0PJX2,9606.ENSP00000217320,Ensembl_UniProt
A0PJX2,9606.ENSP00000217320,UniProt_AC
A1A4F0,9606.ENSP00000413228,Ensembl_HGNC_uniprot_ids
A1A4F0,9606.ENSP00000413228,Ensembl_UniProt
A1A4F0,9606.ENSP00000413228,UniProt_AC
A1KZ92,9606.ENSP00000348645,Ensembl_HGNC_uniprot_ids
A1KZ92,9606.ENSP00000348645,Ensembl_UniProt
A1KZ92,9606.ENSP00000348645,UniProt_AC
A1L168,9606.ENSP00000383474,Ensembl_HGNC_uniprot_ids
A1L168,9606.ENSP00000383474,Ensembl_UniProt
A1L168,9606.ENSP00000383474,UniProt_AC
A1L170,9606.ENSP00000413150,Ensembl_HGNC_uniprot_ids
A1L170,9606.ENSP00000413150,Ensembl_UniProt
A1L170,9606.ENSP00000413150,UniProt_AC
A1L188,9606.ENSP00000400184,Ensembl_HGNC_uniprot_ids
A1L188,9606.ENSP00000400184,Ensembl_UniProt
A1L188,9606.ENSP00000400184,UniProt_AC
A1L4L8,9606.ENSP00000309087,Ensembl_HGNC_uniprot_ids
A1L4L8,9606.ENSP00000309087,Ensembl_UniProt
A1L4L8,9606.ENSP00000309087,UniProt_AC
A1X283,9606.ENSP00000309714,Ensembl_HGNC_uniprot_ids
A1X283,9606.ENSP00000309714,Ensembl_UniProt
A1X283,9606.ENSP00000309714,UniProt_AC
A1XBS5,9606.ENSP00000429367,Ensembl_UniProt
A1XBS5,9606.ENSP00000429367,UniProt_AC
A1Z1Q3,9606.ENSP00000217246,Ensembl_HGNC_uniprot_ids
A1Z1Q3,9606.ENSP00000217246,Ensembl_UniProt
A1Z1Q3,9606.ENSP00000217246,UniProt_AC
A2CJ06,9606.ENSP00000396593,Ensembl_HGNC_uniprot_ids
A2CJ06,9606.ENSP00000396593,Ensembl_UniProt
A2CJ06,9606.ENSP00000396593,UniProt_AC
A2RU49,9606.ENSP00000373640,Ensembl_HGNC_uniprot_ids
A2RU49,9606.ENSP00000373640,Ensembl_UniProt
A2RU49,9606.ENSP00000373640,UniProt_AC
