,Gene,AnomalyScore
271,ACHE,1246.962
5364,BAGE3,1122.1067
5486,SUMF1,1046.6821
5334,NPS,956.64966
4226,PSMC5,514.2137
2107,VAT1,394.538
3442,SPC25,347.77188
3625,ARPC2,316.15012
4362,APOB,252.97441
3795,CTPS1,238.2631
265,PRL,231.90295
880,DCP1B,229.03584
4779,PA2G4,228.0969
4884,GDF2,226.93764
4110,DDX1,226.34784
4822,PCSK7,221.02057
3169,RPS12,220.92422
2075,FAHD1,219.92853
770,NT5C,213.32942
498,VSIR,189.6316
3962,RER1,186.04634
6193,GAA,182.27989
2552,RAB3C,182.21597
1858,OMG,180.385
1689,COL2A1,174.13902
396,LRRN1,173.78513
3491,CXCL3,173.39012
2115,GMPS,169.84502
2026,UGDH,166.7565
1784,GLRX3,166.24419
5475,PLOD2,162.0247
1503,RAB5C,157.04431
2154,PGP,156.34386
4617,XPNPEP1,154.4706
2651,SNAP23,153.97353
578,UNC45A,152.00813
3754,ALG2,151.14087
2408,ACAT1,149.59103
1670,ALAD,149.17255
4104,DIAPH1,148.33252
1333,CAND1,147.13855
3120,C1GALT1|C1GALT1C1,147.03304
2572,SEPTIN5,146.75645
4024,DNAJC1,146.296
3509,SCPEP1,146.26942
4208,FXYD6,145.35905
3423,NRXN1,144.746
6106,CSRP3,143.58759
3139,UBA1,143.39658
3764,PSMC3,139.01561
4578,PIK3CG,134.12827
4761,AKR7A2,132.86293
4812,BCL2L1,132.68127
51,ENO2,128.95079
1345,LAP3,128.49219
3205,UBE2D1|UBB,126.61018
1540,EIF4B,125.277176
48,APRT,122.48943
1844,CDK16,120.81767
3709,PRR15,120.54784
586,PTPN11,120.034645
4769,SYNCRIP,119.84346
2345,RAC2,119.38214
4921,CRK,117.16236
2880,CIAO1,115.01048
4691,PAK6,114.719696
821,RPE,114.70955
804,PPP2R1A,114.41729
5250,IFNAR1,113.871925
3613,PCBP2,113.13108
3206,UBE2D3|UBB,112.46385
4598,FLT3,111.391785
6092,C5orf46,110.81849
1639,CNPY4,110.800255
1848,PHPT1,106.76422
4949,AK1,105.80587
2421,RAB1A,105.57478
235,FAM163B,105.50189
4718,KPNB1,105.16204
524,DNM2,105.027664
780,MTHFD1,104.71969
3548,ARL8A,104.037094
2381,PRPSAP2,102.84507
1894,RAB5A,102.83226
2711,F11R,102.145096
4704,NACA,101.803825
4712,SGTA,101.24664
775,CCT5,99.743164
2539,PLXNA4,99.60956
2630,RAB8B,98.799644
4952,PLA2G7,98.244675
5901,PRDX3,98.202675
3102,C1QL3,97.810036
6084,SNTB1,96.873085
2384,SERPINE2,95.77701
1633,NT5E,95.49116
4147,CCL5,94.7317
3939,CRYL1,93.28201
2387,USP15,91.93519
839,VPS4B,90.98816
3592,RAB4B,90.78217
1098,ATP1B1,90.579285
2849,CDK2,89.11798
5264,UBC,88.65298
3680,GOLPH3L,87.687386
4819,HNRNPAB,87.51526
2197,SELENOW,87.32432
2413,ADK,87.22575
4749,PDGFB,87.143845
4181,ANKRD2,86.72024
629,ARRDC3,86.34415
5606,APLP1,86.201065
2873,TBCEL,85.609566
5806,LEMD1,84.681076
3694,DDRGK1,84.40039
1013,CSRP2,84.32702
3392,PDLIM3,83.39074
5036,PDE11A,82.77269
4847,KYNU,82.62247
502,MLYCD,82.40051
3410,MRPL10,82.28678
4954,PRDX6,81.807945
4127,CCDC9,81.5029
335,TINAGL1,81.363464
356,UBE3A,81.115074
2402,USP14,81.017166
1828,DOK1,80.79649
1546,ZNF276,80.64244
3670,KTI12,80.42766
2939,TBCC,80.28266
3912,PCBP3,79.25954
5243,UTS2,78.28596
4498,CNDP2,78.25406
2521,HDHD3,78.0732
3176,UBQLN3,78.01117
4173,INPP5D,77.75204
1311,CTF1,77.73475
5401,DUSP13,77.67123
2011,ENSA,76.99038
2692,PLPBP,76.876396
3755,PUS7,76.43871
613,CAP1,76.294556
620,SHMT1,76.16891
4702,DNAJB1,76.07375
2153,GOT2,75.37243
3155,GPX3,74.79173
2464,TSTD1,74.606255
5018,PPID,73.576706
3902,MTHFD2L,73.02734
4695,UFM1,72.81175
4025,GLS,72.134605
1023,NPLOC4,72.06777
4705,PRDX1,72.026344
1069,SMOC1,71.64174
627,SARS2,71.635506
6273,ENAH,71.54062
5550,GRPEL1,71.17265
3995,ANKRD16,71.01076
3554,NDUFB6,70.940994
1571,CPLX2,70.46327
1838,MAPRE2,70.45163
1282,SLC5A8,70.2755
2793,RAB23,69.86307
2372,ALDH6A1,69.684654
2140,GCLM,69.401344
545,AHSA1,69.39181
4422,DSG1,69.31219
3056,FKBP5,69.10135
4259,KAT5,68.95078
2220,IDH1,68.844696
