,AD_beta,AD_logp,PD_beta,PD_logp,FTD_beta,FTD_logp,ALS_beta,ALS_logp
CRYBB2,0.024647146,2.2115083,-0.021847252,1.9090021,-0.0009801118,0.58507425,0.018881416,0.5020576
RAF1,0.019430857,2.2092302,-0.022432527,1.8929412,-0.02689027,0.63034165,0.022713467,0.51694524
ZNF41,0.017287482,2.544432,-0.021124445,2.3393595,0.0033152627,0.5948982,0.0049222363,0.49100035
ELK1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
GUCA1A,0.01328101,2.9905982,-0.011249879,2.8145776,0.0114257,0.6136787,-0.004164108,0.4927566
BECN1,0.0023030357,2.219977,-0.0067604375,2.2546356,-0.007702683,0.6266372,-0.013851817,0.45009103
OCRL,0.012902849,2.5964227,-0.023790937,2.3794072,0.00337998,0.60048085,0.006109977,0.49929345
SPDEF,0.056585796,-0.028709501,-0.12592332,-0.8175995,-0.042897474,0.4913857,0.09068478,0.59420156
SNAI2,0.016149743,2.260452,-0.014881108,2.0632064,-0.0033261343,0.5939353,0.011268902,0.48165601
KCNAB2,0.023601118,2.1592023,-0.01719452,1.8943467,-0.0029125456,0.58223325,0.018676404,0.48915705
POLH,0.019483536,2.4993637,-0.015738972,2.2716599,0.0024206527,0.5981606,0.0075575337,0.48908556
VDR,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
HOGA1,0.012983612,2.3488977,-0.01876594,2.1952403,-0.0013879053,0.5904999,0.0065313857,0.47641963
DLD,0.011148608,2.8466163,-0.01686308,2.683829,0.007901618,0.60733443,-0.002633761,0.489348
MUTYH,0.016165659,2.576905,-0.013112087,2.3894598,0.0037243683,0.59741354,0.0044434313,0.48385417
DUSP4,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
ZHX3,0.021439737,2.366548,-0.00908073,2.1134303,0.0015148763,0.5889491,0.014822395,0.48919278
SIGLEC12,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
PNP,0.013949679,1.3821044,-0.013285467,1.2719553,-0.023837067,0.573303,0.018324187,0.44674277
TP63,0.0063673323,1.3053635,-0.00802673,1.164463,-0.046008866,0.6033462,0.02154027,0.45391586
HNF4A,0.011146177,2.4516187,-0.015191933,2.3134248,-0.00083980523,0.5977624,0.0017474655,0.47483104
SGK3,0.012837648,2.5447454,-0.02295231,2.3482752,0.0029116683,0.5969367,0.0048748357,0.4936677
BRD4,0.0196004,2.55222,-0.0039342805,2.3264155,0.0045685573,0.5960819,0.008758222,0.48574695
WNT10A,0.019105935,2.372195,-0.015475035,2.1480145,0.0006704109,0.59276456,0.01009841,0.48785257
CUL3,0.013163991,2.7757175,-0.010639867,2.6134732,0.0068479646,0.6054178,-0.0009763746,0.48360205
BIRC2,0.020913444,2.0000517,-0.029492382,1.705035,-0.0055502905,0.5729737,0.024772165,0.500836
NCF2,0.020563535,2.2527359,-0.019047296,1.9866097,-0.006552794,0.59139335,0.020310095,0.48979947
CBFB,0.028428212,2.3068402,-0.021194987,1.9755709,0.0015393097,0.58832455,0.019970898,0.50807846
TERF1,0.038277194,2.9998524,-0.034116723,2.3936949,-0.040113945,0.66891426,0.049368724,0.57062036
ILK,0.014503019,2.4634252,-0.023518322,2.1861842,-0.0027598557,0.6056689,0.014294376,0.5083751
GAN,0.012447358,2.962672,-0.011331953,2.798098,0.010618401,0.61250454,-0.0046834843,0.4897862
FOXM1,0.013146816,2.803859,-0.0128028635,2.6345878,0.0075321915,0.6078135,-0.0011648422,0.4879153
RAD23A,0.01448798,2.5121152,-0.019525267,2.311034,0.0021667995,0.5944446,0.007591832,0.4899884
FANCL,0.010237232,2.9759955,-0.015189813,2.8234396,0.010210342,0.6125106,-0.0058099953,0.48990077
RBBP9,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
PIN1,0.021495985,2.424473,-0.021007795,2.1244156,-0.01795008,0.6122085,0.024032613,0.5044781
PLCG2,0.0144835245,1.8383026,-0.012302263,1.6685317,-0.011370338,0.5931551,0.012245808,0.47578257
TDP1,0.011873264,2.6822321,-0.02082739,2.5075006,0.004884391,0.60095096,0.001262421,0.48959672
BRD2,0.027824923,1.9607347,0.0059219957,1.6680169,-0.004814907,0.5722494,0.025970496,0.47630426
ACBD6,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
AP4M1,0.014970023,2.6522312,-0.02597192,2.4024155,0.0057048053,0.60048336,0.008902019,0.50827813
BAG3,-0.23870033,-6.8102217,0.23070398,-2.738674,-0.30494246,0.7819871,-0.03102817,-0.7072166
EIF2B1,0.012060705,2.9142718,-0.016815932,2.738623,0.0095684575,0.6101028,-0.0028410864,0.49385983
SATB2,0.022223538,2.5772018,-0.008485654,2.325052,0.0057245987,0.59772897,0.0097354585,0.49390164
